Sr.No,Mobile Brand,Avg Rating
1,Samsung,3
2,Apple,5
3,Motorola,3
4,Motorola,2.7
5,Motorola,3.3
6,Motorola,3.1
7,Nokia,2.7
8,Samsung,3
9,Samsung,2.9
10,Motorola,2.7
11,Motorola,3.6
12,Samsung,3.3
13,Samsung,2.6
14,Samsung,3.6
15,Motorola,2.9
16,Samsung,3.4
17,Samsung,3.6
18,Samsung,3.2
19,Samsung,3.5
20,Samsung,3.4
21,Nokia,3
22,Samsung,3.1
23,Samsung,3.1
24,Samsung,4.1
25,Samsung,3.7
26,Samsung,3.1
27,Samsung,2.5
28,Samsung,3.4
29,Motorola,2.8
30,Nokia,3.2
31,Samsung,3.7
32,Motorola,1
33,Motorola,3
34,Motorola,3.9
35,Nokia,3.4
36,Nokia,3
37,Samsung,2.9
38,Nokia,3.4
39,Nokia,3.6
40,Nokia,3
41,Samsung,2.4
42,Samsung,3.8
43,Samsung,3.5
44,Samsung,3.8
45,Samsung,3.2
46,Nokia,3.2
47,Nokia,3.2
48,HUAWEI,3.1
49,Samsung,3.5
50,Nokia,3.8
51,Samsung,3.7
52,Nokia,2.1
53,Samsung,3.4
54,Samsung,3.7
55,Samsung,3.9
56,Nokia,2.7
57,Samsung,3.5
58,Samsung,3.4
59,Samsung,4
60,Motorola,3.5
61,Motorola,4
62,Nokia,3.8
63,Nokia,3.5
64,Samsung,3.7
65,Samsung,3.3
66,Samsung,3.2
67,Samsung,3.8
68,Motorola,4.1
69,Samsung,3.3
70,Motorola,4
71,Nokia,3.5
72,Samsung,3.2
73,Sony,3.2
74,Motorola,4.1
75,Motorola,3.5
76,Samsung,3.1
77,Samsung,3.2
78,Samsung,3.2
79,Samsung,3.4
80,Motorola,3.9
81,Nokia,3.2
82,Samsung,2.8
83,Motorola,3.1
84,Samsung,3.6
85,Motorola,3.6
86,Nokia,3.3
87,Samsung,3.3
88,Samsung,1
89,Samsung,2.6
90,Motorola,3.8
91,Nokia,3.8
92,Samsung,3.5
93,Samsung,3.5
94,Apple,2.7
95,Samsung,3.1
96,Apple,2.8
97,Samsung,3.7
98,Samsung,2.9
99,Samsung,2.3
100,Samsung,2.8
101,Motorola,3.7
102,Samsung,3.7
103,Sony,3.1
104,Sony,3
105,Samsung,3.3
106,Samsung,3.9
107,Samsung,3.6
108,Samsung,4.1
109,Samsung,3.2
110,Samsung,2.8
111,Motorola,3.5
112,Samsung,3.4
113,Nokia,2.9
